PwnCount,BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,bin,country_id
772904991,7,1,2019,0,0,0,0,0,0,5,8
763117241,25,2,2019,1,0,0,0,0,1,5,3
711477622,28,8,2017,1,0,0,1,0,1,5,8
622161052,16,10,2019,1,0,0,0,0,1,5,8
593427119,13,10,2016,0,0,0,0,0,0,4,8
509458528,1,8,2019,1,0,0,0,0,1,4,0
457962538,16,12,2016,0,0,0,0,0,0,3,8
393430309,1,1,2017,1,0,0,1,0,1,3,0
359420698,1,7,2008,1,0,0,0,0,2,3,0
268765495,29,6,2020,1,0,0,0,0,2,2,0
234842089,19,10,2015,0,0,0,0,0,3,2,0
229037936,22,4,2019,1,0,0,0,0,1,2,0
226883414,4,11,2020,0,0,0,0,0,0,2,17
211524284,1,1,2021,1,0,0,0,0,1,2,0
172869660,1,9,2019,1,0,0,0,0,4,2,0
169746810,16,10,2016,1,1,0,0,0,5,2,0
164611595,5,5,2012,1,0,0,0,0,0,2,0
161749950,1,12,2018,1,0,0,0,0,4,2,0
152445165,4,10,2013,1,0,0,0,0,0,1,0
143606147,1,2,2018,1,0,0,0,0,4,1,0
137272116,24,5,2019,1,0,0,0,0,4,1,0
131577763,1,6,2018,1,0,0,0,0,1,1,0
125929660,23,7,2018,1,0,0,0,0,1,1,3
125698496,8,4,2021,1,0,0,0,0,1,1,0
113990759,3,10,2020,1,0,0,0,0,0,1,0
112005531,1,6,2013,0,1,0,0,0,1,1,0
110964206,2,4,2018,0,0,0,0,0,5,1,0
105059554,18,7,2017,1,0,0,1,0,1,1,8
100985047,11,8,2013,1,0,0,0,0,4,1,0
93338602,1,1,2012,1,0,0,0,0,0,1,0
91991358,26,10,2017,1,0,0,0,0,4,1,0
91890110,1,12,2016,1,0,0,0,0,0,1,0
91436280,1,3,2014,1,0,0,0,0,0,1,16
85176234,20,10,2016,1,0,0,0,0,0,1,0
80115532,19,2,2018,0,0,0,0,0,0,1,0
77449341,1,1,2013,1,0,0,0,0,4,1,0
77159696,28,9,2020,1,0,0,0,0,4,1,0
71443698,17,4,2020,1,0,0,0,0,2,1,8
68693853,4,3,2020,1,0,0,0,0,1,1,0
68648009,1,7,2012,1,0,0,0,0,2,1,8
66147869,5,10,2018,1,0,0,0,0,1,1,0
65469298,28,2,2013,1,0,0,0,0,2,1,0
58843488,8,10,2016,1,0,0,0,0,1,1,0
52578183,1,1,2011,0,1,0,0,0,1,1,8
51730831,21,6,2020,0,0,0,0,0,1,1,0
49467477,22,9,2013,1,0,0,0,0,0,1,0
49038354,1,11,2012,1,0,0,0,0,4,1,0
48881308,23,5,2018,1,0,0,0,0,4,1,3
48580249,14,2,2020,1,0,0,0,0,1,1,0
44320330,14,11,2018,1,0,0,0,0,1,1,8
43432346,12,6,2018,1,0,0,1,1,0,1,0
43423561,11,5,2017,1,0,0,0,0,2,1,8
41826763,11,9,2018,0,0,0,0,0,0,1,0
41817893,7,12,2017,1,0,0,0,0,4,1,0
40960499,9,7,2018,1,0,0,0,0,4,1,0
40767652,10,3,2011,1,1,0,0,0,0,1,0
39721127,28,4,2018,1,0,0,0,0,4,1,0
39086762,1,6,2018,1,0,0,0,0,4,1,33
37217682,22,3,2012,1,0,0,0,0,0,1,0
36395491,16,5,2018,1,0,0,0,0,4,1,0
33698126,1,9,2016,1,0,0,1,0,1,1,0
32939105,14,4,2015,1,0,0,1,0,1,1,0
30811934,19,7,2015,1,1,0,0,0,0,1,0
30741620,7,10,2015,1,0,0,1,0,1,1,0
29396116,1,6,2016,1,0,0,0,0,0,1,48
29020808,26,12,2011,1,0,0,0,0,0,1,0
28510459,7,8,2018,1,0,0,0,0,4,1,0
28364826,18,3,2019,1,0,0,0,0,4,1,0
27971100,1,8,2017,1,0,0,0,0,2,1,0
27393015,29,2,2016,1,1,0,0,0,0,1,0
26892897,5,5,2013,1,0,0,0,0,1,1,0
26372781,1,1,2017,1,0,0,0,0,1,1,16
26183992,1,6,2011,1,0,0,0,0,0,1,0
