BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,country_id,bin
7,1,2019,0,0,0,0,0,0,8,5
25,2,2019,1,0,0,0,0,1,3,5
28,8,2017,1,0,0,1,0,1,8,5
16,10,2019,1,0,0,0,0,1,8,5
13,10,2016,0,0,0,0,0,0,8,4
1,8,2019,1,0,0,0,0,1,0,4
16,12,2016,0,0,0,0,0,0,8,3
1,1,2017,1,0,0,1,0,1,0,3
1,7,2008,1,0,0,0,0,2,0,3
29,6,2020,1,0,0,0,0,2,0,2
19,10,2015,0,0,0,0,0,3,0,2
22,4,2019,1,0,0,0,0,1,0,2
4,11,2020,0,0,0,0,0,0,17,2
1,1,2021,1,0,0,0,0,1,0,2
1,9,2019,1,0,0,0,0,4,0,2
16,10,2016,1,1,0,0,0,5,0,2
5,5,2012,1,0,0,0,0,0,0,2
1,12,2018,1,0,0,0,0,4,0,2
4,10,2013,1,0,0,0,0,0,0,1
1,2,2018,1,0,0,0,0,4,0,1
24,5,2019,1,0,0,0,0,4,0,1
1,6,2018,1,0,0,0,0,1,0,1
23,7,2018,1,0,0,0,0,1,3,1
8,4,2021,1,0,0,0,0,1,0,1
3,10,2020,1,0,0,0,0,0,0,1
1,6,2013,0,1,0,0,0,1,0,1
2,4,2018,0,0,0,0,0,5,0,1
18,7,2017,1,0,0,1,0,1,8,1
11,8,2013,1,0,0,0,0,4,0,1
1,1,2012,1,0,0,0,0,0,0,1
26,10,2017,1,0,0,0,0,4,0,1
1,12,2016,1,0,0,0,0,0,0,1
1,3,2014,1,0,0,0,0,0,16,1
20,10,2016,1,0,0,0,0,0,0,1
19,2,2018,0,0,0,0,0,0,0,1
1,1,2013,1,0,0,0,0,4,0,1
28,9,2020,1,0,0,0,0,4,0,1
17,4,2020,1,0,0,0,0,2,8,1
4,3,2020,1,0,0,0,0,1,0,1
1,7,2012,1,0,0,0,0,2,8,1
5,10,2018,1,0,0,0,0,1,0,1
28,2,2013,1,0,0,0,0,2,0,1
8,10,2016,1,0,0,0,0,1,0,1
1,1,2011,0,1,0,0,0,1,8,1
21,6,2020,0,0,0,0,0,1,0,1
22,9,2013,1,0,0,0,0,0,0,1
1,11,2012,1,0,0,0,0,4,0,1
23,5,2018,1,0,0,0,0,4,3,1
14,2,2020,1,0,0,0,0,1,0,1
14,11,2018,1,0,0,0,0,1,8,1
12,6,2018,1,0,0,1,1,0,0,1
11,5,2017,1,0,0,0,0,2,8,1
11,9,2018,0,0,0,0,0,0,0,1
7,12,2017,1,0,0,0,0,4,0,1
9,7,2018,1,0,0,0,0,4,0,1
10,3,2011,1,1,0,0,0,0,0,1
28,4,2018,1,0,0,0,0,4,0,1
1,6,2018,1,0,0,0,0,4,33,1
22,3,2012,1,0,0,0,0,0,0,1
16,5,2018,1,0,0,0,0,4,0,1
1,9,2016,1,0,0,1,0,1,0,1
14,4,2015,1,0,0,1,0,1,0,1
19,7,2015,1,1,0,0,0,0,0,1
7,10,2015,1,0,0,1,0,1,0,1
1,6,2016,1,0,0,0,0,0,48,1
26,12,2011,1,0,0,0,0,0,0,1
7,8,2018,1,0,0,0,0,4,0,1
18,3,2019,1,0,0,0,0,4,0,1
1,8,2017,1,0,0,0,0,2,0,1
29,2,2016,1,1,0,0,0,0,0,1
5,5,2013,1,0,0,0,0,1,0,1
1,1,2017,1,0,0,0,0,1,16,1
1,6,2011,1,0,0,0,0,0,0,1
31,5,2018,1,0,0,0,0,1,0,1
13,1,2020,1,0,0,0,0,2,46,1
19,5,2015,1,0,0,0,0,4,0,1
25,7,2019,1,0,0,0,0,1,0,1
14,10,2020,1,0,0,0,0,1,0,1
29,9,2016,0,1,0,0,0,1,0,1
12,1,2020,1,1,0,0,0,1,0,1
20,2,2019,1,0,0,0,0,4,0,1
13,12,2018,1,0,0,0,0,4,8,1
13,5,2022,1,0,0,0,0,1,0,1
20,2,2020,1,0,0,0,0,1,17,1
24,3,2021,1,0,0,0,0,1,0,1
10,10,2016,0,0,0,0,0,3,0,1
10,7,2018,1,0,0,0,0,4,0,1
1,5,2019,0,0,0,0,0,3,0,1
1,11,2015,1,0,0,0,0,6,0,1
21,5,2022,1,0,0,0,0,1,0,1
1,1,2012,0,0,0,0,0,3,3,1
21,3,2021,1,0,0,0,0,1,0,1
14,3,2019,1,0,0,0,0,4,0,1
5,12,2017,1,0,0,0,0,1,0,1
17,9,2020,1,0,0,0,0,4,8,1
25,2,2021,1,0,0,0,0,1,0,1
23,5,2021,1,0,0,0,0,1,0,1
13,4,2020,1,0,0,0,0,2,0,1
28,2,2018,1,0,0,0,0,4,0,1
1,6,2018,1,0,0,0,0,4,16,1
9,3,2022,0,0,0,0,0,1,0,1
15,2,2019,1,0,0,0,0,4,0,1
27,6,2017,1,0,0,0,0,4,0,1
1,7,2012,1,0,0,0,0,2,0,1
3,1,2019,1,0,0,0,0,4,0,1
1,12,2018,1,0,0,0,0,5,16,1
10,9,2014,0,0,0,0,0,0,0,1
17,5,2017,1,0,0,0,0,2,0,1
1,4,2019,1,0,0,0,0,4,0,1
23,8,2015,1,0,0,0,0,1,0,1
1,7,2018,1,0,0,0,0,4,0,1
13,9,2021,1,0,0,0,0,1,0,1
1,3,2015,1,0,0,0,0,2,0,1
5,7,2018,1,0,0,0,0,4,0,1
22,6,2020,1,0,0,0,0,4,0,1
1,1,2014,0,0,0,0,0,3,0,1
23,10,2017,1,0,0,0,0,4,0,1
2,6,2013,1,0,0,0,0,2,16,1
8,8,2016,1,0,0,0,0,6,0,1
27,6,2016,1,0,0,0,0,4,0,1
26,1,2021,0,0,0,0,0,1,8,1
8,2,2014,0,0,0,0,0,1,0,1
1,2,2018,1,0,0,0,0,4,0,1
1,1,2019,1,0,0,0,0,4,0,1
1,9,2017,0,0,0,0,0,3,0,1
5,11,2021,1,1,0,0,0,2,3,1
27,1,2020,1,0,0,0,0,1,3,1
5,11,2018,1,0,0,0,0,1,0,1
8,5,2014,1,0,0,0,0,1,0,1
1,1,2011,0,0,0,0,0,3,0,1
11,8,2020,1,0,0,0,0,2,0,1
10,2,2020,1,0,0,0,0,4,0,1
1,12,2011,0,0,0,0,0,3,0,1
22,3,2020,1,0,0,0,0,4,0,1
3,11,2013,1,0,0,0,0,5,0,1
1,3,2012,1,0,0,0,0,0,0,1
1,4,2020,1,0,0,0,0,1,8,1
